Name,Role,Company,Rating,Reviews,Price,Country,Bio,Skills,Top Mentor,Quick Responder,Spots Left,url
Nilanchala Panigrahy,Solutions Architect,Ness Digital Engineering,5,12,120,United Kingdom,"With over 15 years of expertise in product development, I am specialized in the developing of multi-tier, client-server, event-driven, and distributed...","Java, Spring, Spring Boot, Design Patterns, Microservices, Code Review",No,Yes,,https://mentorcruise.com/mentor/nilanchalapanigrahy/?queryID=575d7d03a4e46a4c32cca3d456a17021&source=search
Lilian Umeakunne,Software Engineer,Accenture,5,7,150,United Kingdom,"As a Software Engineer with a passion for helping others achieve their career goals, I firmly believe that there is a place for everyone in technology...","Transitioning In To A Tech Role, Networking, Strategic Thinking And Planning, Interview Prep, Confidence Coaching, Career",No,Yes,,https://mentorcruise.com/mentor/lilianumeakunne/?queryID=575d7d03a4e46a4c32cca3d456a17021&source=search
Lewis Prescott,QA Lead,IBM,5,6,60,United Kingdom,"I'm an experienced Test Specialist at IBM, having worked across different industries including Healthcare, Non-profit, Retail and PropTech. Working fo...","Software Testing, Automation Testing, UI Testing, Unit Testing, API Testing, Quality Assurance",No,Yes,,https://mentorcruise.com/mentor/lewisprescott/?queryID=7e96f335f06d612c351ecf58d071d8a9&source=search
Anish Chakraborty🇸🇪,Senior Engineer,Spotify,5,5,150,Sweden,"I am a Software Engineer with very deep knowledge of back-end systems, cloud infrastructure, databases, data engineering, and building data-driven pro...","Programming, Java, Backend, Python, Cloud Infra, Spring Boot",No,Yes,,https://mentorcruise.com/mentor/anishchakraborty/?queryID=7e96f335f06d612c351ecf58d071d8a9&source=search
Fabio Cicerchia🇮🇹,Head of Platform Engineering,Treatwell,5,7,120,Italy,If you either want to start your tech career or improve your current one I'd love to help you achieve your professional goals. I could help you pretty...,"DevOps, Cloud, Programming, Infrastructure, PHP, MySQL",No,Yes,,https://mentorcruise.com/mentor/fabiocicerchia/?queryID=7e96f335f06d612c351ecf58d071d8a9&source=search
Artem Manchenkov🇨🇿,Software Engineer,Microsoft,0,0,240,Czechia,"Hey, I’m Artem! I’ve been in tech for over a decade, building my way up from freelancing gigs to a leadership role in BigTech. I started out teaching ...","Agile Methodologies, Career Development, Communication, Design Systems, People Management, Distributed Systems",No,Yes,,https://mentorcruise.com/mentor/artemmanchenkov/?queryID=7e96f335f06d612c351ecf58d071d8a9&source=search
Christine Huang🇸🇪,Risk & Compliance Manager,Klarna,0,0,180,Sweden,"Hi! I'm a certified Risk & Compliance Manager with 8+ years of experience in risk management, regulatory compliance, AML & CTF and governance. I'm cur...","Compliance, Risk, GRC, Risk Management, Regulatory Compliance, Security",No,Yes,,https://mentorcruise.com/mentor/christinehuang/?queryID=7e96f335f06d612c351ecf58d071d8a9&source=search
Sofia Valcárcel🇪🇸,Data Analyst,MediaMarkt,0,0,100,Spain,"Hi, I’m Sofía! I’m a Senior Data Analyst and passionate Data Educator with over 5 years of experience in the data field. Throughout my career, I’ve ha...","Data Analytics, SQL, Python, Tableau, A/B Testing, Marketing Analytics",No,Yes,,https://mentorcruise.com/mentor/sofiavalcarcelandres/?queryID=7e96f335f06d612c351ecf58d071d8a9&source=search
Jaimin Soni,Senior Data Engineer,Deutsche bank,0,0,40,United Kingdom,"A Senior Data Engineer currently working as an AVP at Deutsche Bank in London. Over the years, I’ve gained significant experience in building scalable...","Data Engineering, SQL, Python, Data Analysis, Terraform, Data Visualization",No,Yes,,https://mentorcruise.com/mentor/jaiminsoni/?queryID=7e96f335f06d612c351ecf58d071d8a9&source=search
Alina Kovalenko🇳🇱,Engineering Manager,Uber,0,0,360,Netherlands,"Hi, I'm Alina, a seasoned Engineering Manager and Backend Engineer with over 15 years of experience in development and 5+ years in management. Current...","Engineering, Software Engineering, Engineering Management, Engineering Leadership, Soft Skills, Career Growth",No,Yes,,https://mentorcruise.com/mentor/alinakovalenko/?queryID=7e96f335f06d612c351ecf58d071d8a9&source=search
Zahra Farimani🇸🇪,Product Managar,PayPal,0,0,40,Sweden,"Hi, I’m a Product Manager with over 7 years of experience in product management and analytics. I’ve led complex integrations and delivered data-driven...","Product Management, Product Analytics, Data Analytics, Product Strategy, Business Strategy, Business & Management",No,Yes,,https://mentorcruise.com/mentor/zahrafarimani/?queryID=7e96f335f06d612c351ecf58d071d8a9&source=search
Manish Gharat🇳🇱,Senior Software Engineer - Frontend,Miro,5,17,120,Netherlands,Are you a junior developer eager to accelerate your career in web development? Do you seek expert guidance on learning the most relevant and up-to-dat...,"JavaScript, Typescript, React, Angular, Web Development, CSS",No,Yes,,https://mentorcruise.com/mentor/manishgharat/?queryID=7e96f335f06d612c351ecf58d071d8a9&source=search
Sara Brioschi🇨🇭,Founder,People Topics,5,10,290,Switzerland,"Hi! I'm Sara, from Switzerland 👋 Before stepping into mentoring and consulting, I've led HR and operations in 3 scaling businesses. I now advise star...","People Management, Leadership, Human Resources, Interview Preparation, Career Development, Management",No,Yes,,https://mentorcruise.com/mentor/sarabrioschi/?queryID=7e96f335f06d612c351ecf58d071d8a9&source=search
Mert Ozlutiras🇩🇪,AI Solution Architect,Crayon,5,9,200,Germany,"👋 Hey, I'm Mert, 5+ years of experience in AI and Data Science - and I've been right where you are in the tech world. I started in a non-technical ro...","Natural Language Processing, Data Science, Data, Machine Learning, Artificial Intelligence, Data Analytics",No,Yes,,https://mentorcruise.com/mentor/mertozlutiras/?queryID=7e96f335f06d612c351ecf58d071d8a9&source=search
Mottakin Chowdhury🇳🇱,Senior Software Engineer,Booking.com,5,9,120,Netherlands,"I am a Senior Software Engineer at Booking.com, the largest travel company in the world. Before joining here, I was working as a Senior Software Engin...","Software Engineering, Backend, Microservices, Distributed Systems, Database, Programming",No,Yes,,https://mentorcruise.com/mentor/mottakinchowdhury/?queryID=2556ca69241dd5a32f969324d63e647f&source=search
Alessandro Romano🇩🇪,Senior Data Scientist,Kuehne+Nagel,5,6,120,Germany,"I'm a tech enthusiast with a Bachelor's in Computer Science and a Master's in Data Science, specializing in Machine Learning and Data Engineering. I s...","Data Science, Data Analytics, Data Engineering, Machine Learning, Python, AWS",No,Yes,,https://mentorcruise.com/mentor/alessandroromano/?queryID=2556ca69241dd5a32f969324d63e647f&source=search
Andrii Latyshev🇨🇭,Software Engineer,Nexthink,5,36,160,Switzerland,"👋 Hey folks, ❇️I think, I can help you to resolve your pain! But first of all, check my description above and write inquiry for discussion! 🏆 I am e...","Java, Microservices, Spring, Architecture, Micronaut, Hibernate",No,Yes,,https://mentorcruise.com/mentor/AndriiLatyshev/?queryID=2556ca69241dd5a32f969324d63e647f&source=search
Dav Nash,Head of Marketing,FATJOE,5,22,160,United Kingdom,"✅ Ranked in Top 6% of mentors | I help digital agency owners to productise, stabilise, clarify and scale with practical, no-nonsense advice. Check out...","Digital Marketing, Digital Marketing Strategy, Digital Transformation, Team Management, SEO, Team Leadership",No,Yes,,https://mentorcruise.com/mentor/davnash/?queryID=2556ca69241dd5a32f969324d63e647f&source=search
Maria Teresa Stella🇮🇹,Senior UX Designer,Cerved Group SPA,5,22,80,Italy,*I support Parity pricing Purchasing - send me a message and I'll provide you with a discount at the end of your trial!* STUDENT or JUNIOR UX DESIGNER...,"UX Research, UX Design, Ux Strategy, UX & Design, Figma, Product Design",No,Yes,,https://mentorcruise.com/mentor/mariateresastella/?queryID=2556ca69241dd5a32f969324d63e647f&source=search
Yoav Farbey🇳🇱,Group product manager building B2B products with purpose | Career Coach,ING,5,13,120,Netherlands,Ready to elevate your product management career and achieve your goals? HOW I WORK WITH MENTEES: - Approach mentees weekly challenges openly without b...,"Product Management, Product Strategy, B2B, Leadership, Design Sprints, Product Discovery",No,Yes,,https://mentorcruise.com/mentor/yoavfarbey/?queryID=2556ca69241dd5a32f969324d63e647f&source=search
Davide Pollicino,Software Engineer,Microsoft,5,80,100,United Kingdom,"💼 Davide is a Software Engineer @Microsoft and a top-tier mentor for anyone aspiring to break into the big tech industry, scale up their startups, ac...","FAANG, Project Management, Career Growth, Product Management, Azure, Startup",No,Yes,,https://mentorcruise.com/mentor/davidepollicino/?queryID=2556ca69241dd5a32f969324d63e647f&source=search
Telmo Sampaio,Lead Software Engineer,Generated Health,5,34,180,United Kingdom,"Are you a junior developer looking to fast track your career in web development? Do you need guidance on learning the right and up to date content, bu...","JavaScript, React, NodeJS, MonGoDB, MySQL, Frontend",No,Yes,,https://mentorcruise.com/mentor/telmosampaio/?queryID=2556ca69241dd5a32f969324d63e647f&source=search
Dan Page,Lead Full Stack Engineer,,5,28,160,United Kingdom,I'm a self-taught Developer with experience at large B2C companies like Deliveroo and Memrise. I have a track record of helping people get their first...,"JavaScript, React, Typescript, NodeJS, Testing, Jest",No,Yes,,https://mentorcruise.com/mentor/danpage/?queryID=2556ca69241dd5a32f969324d63e647f&source=search
Akram Riahi🇫🇷,Lead SRE/Chaos Engineer/Speaker,Talend,5,19,240,France,Akram RIAHI is a Site Reliability Engineer (SRE) with an interest in all things Cloud Native. He is passionate about kubernetes resilience and chaos e...,"SRE, Observability, Monitoring, Logging, Alerting, Kubernetes",No,Yes,,https://mentorcruise.com/mentor/akramriahi/?queryID=2556ca69241dd5a32f969324d63e647f&source=search
Gustavo Imhof,Senior Product Manager,TestGorilla,5,13,240,United Kingdom,"Do you feel overlooked? Do you believe you could perform at a higher level if you were given the opportunity? And yet, you are surrounded by incompete...","Product Strategy, Product Management, Product Roadmap, Customer Experience, Market Research, Personal Finance",No,Yes,,https://mentorcruise.com/mentor/GustavoImhof/?queryID=2556ca69241dd5a32f969324d63e647f&source=search
Andrei Gavrila🇫🇷,CTO | Technical Advisor | Agile Coach | Mentor,Globant,5,12,180,France,"Hi, I'm Andrei! I have 17 years of experience in software development and more than 8 in engineering leadership or executive roles. I mentor a wide ra...","CTO, Engineering Management, Engineering Leadership, Technical Leadership, Leadership, Product Management",No,Yes,,https://mentorcruise.com/mentor/AndreiGavrila/?queryID=2556ca69241dd5a32f969324d63e647f&source=search
Chris Nicol,VP of Product,Xelix,5,14,100,United Kingdom,"🌱 Are you looking to grow in your PM career? As an experienced coach and product leader, I’ve worked with many Product Managers over the last 10 year...","Product Management, Leadership Coaching, Product Strategy, Product Visioning, Career Growth, People Management",No,Yes,,https://mentorcruise.com/mentor/chrisnicol/?queryID=3f1de100874732bf4503729abd0c52d4&source=search
Denis Čahuk🇸🇮,Productive Tech Leadership,Coach Denis,5,10,80,Slovenia,I help you 1. Implement processes to deploy stress-free several times per day (without heroics) 2. Bring your team together by collaborative pairing a...,"Engineering Leadership, Extreme Programming, Engineering Management, Tech Leadership, Domain-driven Design, Event Modeling",No,Yes,,https://mentorcruise.com/mentor/deniscahuk/?queryID=3f1de100874732bf4503729abd0c52d4&source=search
Alessandro Giordani🇳🇱,Data Science & Machine Learning Lead,IBM,5,15,440,Netherlands,"As Managing Consultant for Data Science and Machine Learning, I develop end-to-end machine learning solutions for my clients and help them get busines...","Data Science, Machine Learning, Artificial Intelligence, Consulting, Data Engineering, Deep Learning",No,Yes,,https://mentorcruise.com/mentor/AlessandroGiordani/?queryID=3f1de100874732bf4503729abd0c52d4&source=search
Adrian Stanek🇩🇪,CTO & Fellow,webbar,5,9,200,Germany,"Is your tech strategy falling short, or do you aspire to lead as a CTO? Are you facing challenges with your development team or becoming senior? I'm h...","Engineering Leadership, Engineering Management, Software Engineering, Technical Leadership, Product Strategy, Product Management",No,Yes,,https://mentorcruise.com/mentor/adrianstanek/?queryID=3f1de100874732bf4503729abd0c52d4&source=search
Paul Boudet🇫🇷,Growth Advisor,multiple ventures,5,6,150,France,Hello 👋 My name is Paul and I love helping pre-seed to series-A startups figure out their growth engine. About me: I'm an award-winning marketer with...,"Startup, Founder, Growth, Fundraising, Mvp, Hiring",No,Yes,,https://mentorcruise.com/mentor/paulboudet/?queryID=3f1de100874732bf4503729abd0c52d4&source=search
Maxim Zubarev🇦🇪,Frontend Developer - Contractor,Freelance,5,4,290,United Arab Emirates,"I started programming at an age of 14 because I wanted to help people, specifically my mother who is an artist and who I made a website for. Since the...","React, React Native, Frontend, MVP, Startup, UX Design",No,Yes,,https://mentorcruise.com/mentor/maximzubarev/?queryID=3f1de100874732bf4503729abd0c52d4&source=search
Billy Harris,Product Designer (Design System),British Airways,5,5,120,United Kingdom,"Hi! I’m Billy and i’ve been in the digital product space for over 5 years. I’ve worked in startups, agency and now in-house, working for British Airwa...","Portfolio Review, Interview Preparation, Design Systems, User Experience, Journey Mapping, Figma",No,Yes,,https://mentorcruise.com/mentor/billyharris/?queryID=3f1de100874732bf4503729abd0c52d4&source=search
Rebecca Fallon,Senior Product Manager,ex-Spotify,5,5,90,United Kingdom,"Hi, I'm Becca. 👩‍💻 I'm a London-based senior product manager with 6+ years of experience launching products and scaling ecosystems. I've worked in s...","Product Management, Career Planning, London, Product Culture, Interviewing, Product Vision",No,Yes,,https://mentorcruise.com/mentor/rebeccafallon/?queryID=3f1de100874732bf4503729abd0c52d4&source=search
David Garcia Casas🇪🇸,Senior Program Manager,Amazon,5,19,90,Spain,"Hi all! With +10 years experience in managing complex programs and projects for big tech (Amazon) and hypergrowth startups, plus an MBA from London Bu...","Interview, Business Analysis, Product Management, Career Development, Career Coaching, Business Model",No,Yes,,https://mentorcruise.com/mentor/davidgarciacasas/?queryID=3f1de100874732bf4503729abd0c52d4&source=search
Uwe Dreissigacker,Founder,InvoiceBerry & BlogHandy,5,2,240,United Kingdom,"In a nutshell: * Launched and grew online gaming network to over 500,000 players * Started ad network with over 1bn monthly ad impressions and 300+ pu...","Content Marketing, Content Strategy, SaaS, Hiring, Blogging, Growth Marketing",No,Yes,,https://mentorcruise.com/mentor/uwedreissigacker/?queryID=3f1de100874732bf4503729abd0c52d4&source=search
Ricardo Boriba Makuere🇦🇹,Cloud & DevOps Engineer,Cropster,5,9,220,Austria,"If you are looking for someone with experience in Cloud & DevOps Engineering, that's me! I am a skilled professional with a passion for staying ahead ...","Cloud Computing, AWS, Kubernetes, Cloud, Terraform, Terragrunt",No,Yes,,https://mentorcruise.com/mentor/ricardoboribamakuere/?queryID=3f1de100874732bf4503729abd0c52d4&source=search
Paweł Ochrymowicz🇵🇱,Sr. Software Engineer,Revolut,5,7,120,Poland,"As a Senior Java Software Engineer, I possess over ten years of comprehensive experience in the field. I am also a certified AWS Solutions Architect, ...","Java, Go, Career Growth, Microservices, Distributed Systems, Software Engineering",No,Yes,,https://mentorcruise.com/mentor/paweochrymowicz/?queryID=3f1de100874732bf4503729abd0c52d4&source=search
Burak Cizmeci🇨🇭,Co-Founder,Gravis Robotics AG,5,7,120,Switzerland,"Welcome to my mentoring profile! With a strong background in Electrical and Computer Engineering, I bring extensive expertise in the fields of robotic...","Software Engineering, Research, C++, Engineering, Coding, Software Development",No,Yes,,https://mentorcruise.com/mentor/burakcizmeci/?queryID=c23ed4ca00006b6dea2d52ee87e1219d&source=search
Tam Finlay,Product Manager and Leader,Early stage startups,5,5,150,United Kingdom,"Being a Product Manager can be super hard at times. As your mentor I can help you be your best, coach you through the tough spots, and share my learni...","Product Management, Product Strategy, Startup, Early Stage, Product Market Fit, Leadership",No,Yes,,https://mentorcruise.com/mentor/tamfinlay/?queryID=c23ed4ca00006b6dea2d52ee87e1219d&source=search
Rok Strniša,"Founder, Entrepreneur, Software Architect, Cambridge PhD",,5,5,180,United Kingdom,"👋🏻 Hi there, my name is Rok. From a PhD at Cambridge to scaling a unicorn startup, I've faced numerous challenges, and I'm happy to share my insight...","Leadership, Management, Team Leadership, Engineering Management, Startup, Founder",No,Yes,,https://mentorcruise.com/mentor/rokstrnisa/?queryID=c23ed4ca00006b6dea2d52ee87e1219d&source=search
Carolina Rocha🇵🇹,Sr. Community Specialist,Fortis Games,5,1,40,Portugal,"Who am I? - Unique expertise across Europe and through Global500 companies and startups. Focused on Marketing, Community, and the creative and tech se...","Community Strategy, Personal Branding, Time Management, Email Marketing, Digital Marketing Strategy, Social Media Marketing",No,Yes,,https://mentorcruise.com/mentor/carolinarocha/?queryID=c23ed4ca00006b6dea2d52ee87e1219d&source=search
Sina Ranjbar🇮🇹,Senior UX Designer,Oracle,5,1,120,Italy,"I’m Sina, a Senior UX Designer at Oracle with a deep passion for creating designs that make a real impact. My expertise lies in transforming complex u...","User Experience, Product Design, UX Design, Prototyping, Product Psychology, AI-powered UX Design",No,Yes,,https://mentorcruise.com/mentor/sinaranjbar/?queryID=c23ed4ca00006b6dea2d52ee87e1219d&source=search
Davide Tararbra🇳🇱,Growth Leader | Amazon and Google veteran | Experienced Recruiter,Wolt (DoorDash),5,1,100,Netherlands,"Unlock your potential with a multi-faceted mentor! I can help you master data and business analysis, strengthen your product management and strategy s...","Business Intelligence, Strategy, Product Management, Growth, Digital, E-commerce",No,Yes,,https://mentorcruise.com/mentor/davidetararbra/?queryID=c23ed4ca00006b6dea2d52ee87e1219d&source=search
Faris Aziz🇨🇭,Engineering Manager & Staff Frontend Engineer,faziz-dev.com,5,3,170,Switzerland,"Greetings! 👋 I'm Faris, a Full-Stack Software Engineer & Engineering Manager enthusiastic about mentoring and supporting other engineers in honing th...","React, NextJS, JavaScript, Typescript, NodeJS, CSS",No,Yes,,https://mentorcruise.com/mentor/farisaziz/?queryID=c23ed4ca00006b6dea2d52ee87e1219d&source=search
Eleonora Porena🇨🇿,Senior Product Designer,Microsoft,5,4,60,Czechia,"Ciao! I’m a Senior Product Designer at Microsoft in Prague, where I help shape the future of meetings for Microsoft Teams. With over 7 years of experi...","UX Research, UX Design, UX Strategy, UX/UI, UX/UI Design, Figma",No,Yes,,https://mentorcruise.com/mentor/eleonoraporena/?queryID=c23ed4ca00006b6dea2d52ee87e1219d&source=search
Matthew Laybourn,Founder,Rockee,5,4,140,United Kingdom,"Hey, I'm Matt - I'm the founder of a fast-growing SAAS business called Rockee. Previously, I created a leading Performance marketing/digital marketing...","Marketing Strategy, Digital Marketing, Content Marketing, Content Strategy, Career Coaching, Startup",No,Yes,,https://mentorcruise.com/mentor/matthewlaybourn/?queryID=c23ed4ca00006b6dea2d52ee87e1219d&source=search
Samuel Ficek,SEO Growth Lead,Canva,5,5,180,United Kingdom,I specialise in supporting early-stage startups to devise and implement scalable SEO growth strategies while avoiding common pitfalls that can hinder ...,"SEO, Data Analytics, Digital Marketing, Growth Strategy, Marketing, Python",No,Yes,,https://mentorcruise.com/mentor/samuelficek/?queryID=c23ed4ca00006b6dea2d52ee87e1219d&source=search
Siddharth Agrawal,Principal Research Scientist,Motorola Solutions,5,31,140,United Kingdom,"I'm a Principal Research Scientist at Motorola Solutions, where I work on cutting-edge deep learning/computer vision algorithms for the security indus...","Deep Learning, Computer Vision, Python, TensorFlow, Software Engineering, Applied Research",No,Yes,,https://mentorcruise.com/mentor/siddharthagrawal/?queryID=c23ed4ca00006b6dea2d52ee87e1219d&source=search
Maria Camila Luna🇪🇸,Senior Regional Manager,Amazon,0,0,290,Spain,"In the new world we live in, simply doing our jobs well is not good enough – not anymore. Thinking strategically about your career path, building the ...","Leadership, Networking, Influencing, Strategy, Career Growth, Communication",No,Yes,,https://mentorcruise.com/mentor/mariacamilaluna/?queryID=c23ed4ca00006b6dea2d52ee87e1219d&source=search
Kasia Dutch,Software Engineer,Starling Bank,0,0,80,United Kingdom,"Hi, I'm Kasia, a software engineer, coding instructor, and mentor with three years of experience in the industry. I currently work at Starling Bank. P...","Women In Tech, Career Change, Career Coaching, Software Engineering, Frontend, Full Stack",No,Yes,,https://mentorcruise.com/mentor/kasiadutch/?queryID=8a92f7bb21f1aedf037316a4261771a5&source=search
Andriy Malenkov🇩🇪,Co-Founder / Sr.Group PM,Just Eat Takeaway,0,0,170,Germany,I am currently building a stealth startup in the recruitment field for agencies to find the right candidates for clients while being an exec at Just E...,"Product Vision, Product Strategy, Experimentation, Ideation, Agile Development, Roadmapping",No,Yes,,https://mentorcruise.com/mentor/andriymalenkov/?queryID=8a92f7bb21f1aedf037316a4261771a5&source=search
George Gangar,Head of Strategy EMEA,PMG,0,0,120,United Kingdom,"I focus on helping individuals who are still in the early stages of their career, likely in entry to mid-level roles, but who have the ambition and dr...","Marketing, Digital Marketing, Leadership, Career Growth, Marketing Strategy, Digital Marketing Strategy",No,Yes,,https://mentorcruise.com/mentor/georgegangar/?queryID=8a92f7bb21f1aedf037316a4261771a5&source=search
Robbie Humphreys,Lead product manager,SeedLegals,0,0,60,United Kingdom,"**As a new mentor to this platform, I am offering a discounted rate** Hello there! I'm Robbie, a seasoned lead product manager with a passion for tran...","Product Management, Management, MVP, Lean Startup, Start Up, Collab",No,Yes,,https://mentorcruise.com/mentor/robbiehumphreys/?queryID=8a92f7bb21f1aedf037316a4261771a5&source=search
Carla Musa🇵🇹,Product Design Lead,Unbabel,0,0,70,Portugal,"Hello! I'm Carla. I'm new to MentorCruise - but not new to mentoring! ;) A thoughtful and passionate product person, now playing a strategic role as a...","User Interface Design, User Experience, User Research, UX Strategy, Stakeholder Management, Career Growth",No,Yes,,https://mentorcruise.com/mentor/carlamusa/?queryID=8a92f7bb21f1aedf037316a4261771a5&source=search
Rajeev Kumar🇵🇹,Founder,myetyn,0,0,90,Portugal,"Hello, mentees!👋 I'm Rajeev Kumar, your guide in the exciting world of tech products! For over a decade, I've thrived on creating impactful solutions...","Product Management, Product Roadmap, Stakeholder Management, Resume Review, Analytics, Agile",No,Yes,,https://mentorcruise.com/mentor/rajeevkumar/?queryID=8a92f7bb21f1aedf037316a4261771a5&source=search
Frederik Müller🇩🇪,Data Scientist,"US Tech Company | Ex-Spotify, PlayStation",0,0,220,Germany,"I’ve been working as a Data Scientist for 6+ years and have been mentoring people successfully, both on the job and with private clients, throughout. ...","Data, Data Science, Data Analytics, Data Analysis, SQL, Python",No,Yes,,https://mentorcruise.com/mentor/frederikmuller/?queryID=8a92f7bb21f1aedf037316a4261771a5&source=search
Fiodar Sazanavets,Senior software engineer,Microsoft,5,16,300,United Kingdom,"I am an experienced lead software engineer whose main area of expertise is Microsoft stack, which includes ASP.NET (Framework and Core), SQL Server, A...","C#, .NET, ASP.NET Core, gRPC, Web Development, IoT",No,Yes,,https://mentorcruise.com/mentor/fiodarsazanavets/?queryID=8a92f7bb21f1aedf037316a4261771a5&source=search
Hamid Omidvar,PhD-CTO,Mitigrate,5,19,110,United Kingdom,"I've spent a good chunk of my career mentoring folks through various stages of their professional journeys. It's been a rewarding ride, helping many i...","Satellite, Geospatial Data, Django, Neural Network, AI, Machine Learning",No,Yes,,https://mentorcruise.com/mentor/hamidrezaomidvar/?queryID=8a92f7bb21f1aedf037316a4261771a5&source=search
Ben Sheppard🇪🇸,CEO,Silta Finance,5,11,230,Spain,"Welcome! I'm a seasoned Board Director and C-Suite Officer with twenty years of experience across Asia and Europe, specializing in tech, infrastructur...","Leadership, Sales, Fundraising, Marketing, Governance, Management",No,Yes,,https://mentorcruise.com/mentor/bensheppard/?queryID=8a92f7bb21f1aedf037316a4261771a5&source=search
Michal Tomasik🇩🇪,Frontend Developer | Web3,Freelance,5,13,160,Germany,"Through my mentorship program, I've helped countless coders like you reach their goals - and I'm proud to share that we have a 100% satisfaction rate....","JavaScript, ReactJS, React, webDevelopment, HTML, CSS",No,Yes,,https://mentorcruise.com/mentor/michaltomasik/?queryID=8a92f7bb21f1aedf037316a4261771a5&source=search
Gaurav Tiwari,Engineering Manager,Spotify,5,7,150,United Kingdom,"Hello there, I am Gaurav and I have been working in the field of data and engineering for the last 10 years. I am from India and over the last 10 year...","Data Analytics, Data Engineering, Leadership, Mentor, AI, Technical Leadership",No,Yes,,https://mentorcruise.com/mentor/gauravtiwari/?queryID=8a92f7bb21f1aedf037316a4261771a5&source=search
